Date,Week,Month,Year,Market Name,Market Type,Commodity,Source,Latitude,Longitude,Location,Bid,Nearby Futures Month,Futures Price,Basis
01/11/2008,2,1,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.33,Mar,12.9875,-0.6575
01/18/2008,3,1,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.95,Mar,12.9875,-1.0375
01/25/2008,4,1,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.83,Mar,12.43,-0.6
02/01/2008,5,1,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.08,Mar,12.8725,-0.7925
02/08/2008,6,2,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.77,Mar,13.39,-0.62
02/15/2008,7,2,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.16,Mar,13.7375,-0.5775
02/22/2008,8,2,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.6,Mar,14.2,-0.6
02/29/2008,9,2,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.63,Mar,15.22,-0.59
03/07/2008,10,3,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.31,May,14.0875,-0.7775
03/14/2008,11,3,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.78,May,13.5275,-0.7475
03/21/2008,12,3,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.35,May,12.07,-0.72
03/28/2008,13,3,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.98,May,12.6725,-0.6925
04/04/2008,14,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.17,May,12.77,-0.6
04/11/2008,15,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.82,May,13.325,-0.505
04/18/2008,16,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.14,May,13.615,-0.475
04/25/2008,17,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.86,May,13.37,-0.51
05/02/2008,18,4,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.58,Jul,13.045,-0.465
05/09/2008,19,5,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.05,Jul,13.58,-0.53
05/16/2008,20,5,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.35,Jul,13.78,-0.43
05/23/2008,21,5,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.26,Jul,13.68,-0.42
05/30/2008,22,5,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.27,Jul,13.635,-0.365
06/06/2008,23,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.2,Jul,14.575,-0.375
06/13/2008,24,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),15.16,Jul,15.6,-0.44
06/20/2008,25,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.94,Jul,15.325,-0.385
06/27/2008,26,6,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),15.46,Jul,15.715,-0.255
07/11/2008,28,7,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),15.88,Nov,15.96,-0.08
07/18/2008,29,7,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),14.43,Nov,15.96,-1.53
07/25/2008,30,7,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.73,Nov,13.8675,-0.1375
08/01/2008,31,7,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.41,Nov,13.65,-0.24
08/08/2008,32,8,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.53,Nov,11.805,-0.275
08/15/2008,33,8,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.91,Nov,12.19,-0.28
08/22/2008,34,8,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.02,Nov,13.27,-0.25
08/29/2008,35,8,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),13.03,Nov,13.24,-0.21
09/05/2008,36,9,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.55,Nov,11.77,-0.22
09/12/2008,37,9,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.9,Nov,12.02,-0.12
09/19/2008,38,9,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.14,Nov,11.435,-0.295
09/26/2008,39,9,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.96,Nov,11.64,-0.68
10/03/2008,40,9,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.31,Nov,9.92,-0.61
10/10/2008,41,10,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.14,Nov,9.92,-1.78
10/17/2008,42,10,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.47,Nov,8.94,-0.47
10/24/2008,43,10,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.36,Nov,8.6375,-0.2775
10/31/2008,44,10,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.95,Nov,9.2525,-0.3025
11/07/2008,45,11,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.81,Jan,9.21,-0.4
11/14/2008,46,11,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.59,Jan,8.96,-0.37
11/21/2008,47,11,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.1,Jan,8.4,-0.3
11/28/2008,48,11,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.57,Jan,8.86,-0.29
12/05/2008,49,12,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),7.6,Jan,7.835,-0.235
12/14/2008,50,12,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.33,Jan,8.54,-0.21
01/02/2009,53,12,2008,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.54,Mar,9.77,-0.23
01/16/2009,2,1,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.95,Mar,10.2,-0.25
01/23/2009,3,1,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.86,Mar,10.09,-0.23
01/30/2009,4,1,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.58,Mar,9.8,-0.22
02/06/2009,5,2,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.87,Mar,10.02,-0.15
02/13/2009,6,2,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.43,Mar,9.555,-0.125
02/20/2009,7,2,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.53,Mar,8.625,-0.095
02/27/2009,8,2,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.61,May,8.72,-0.11
03/06/2009,9,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.63,May,8.87,-0.24
03/13/2009,10,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.67,May,8.765,-0.095
03/20/2009,11,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.39,May,9.52,-0.13
03/27/2009,12,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.03,May,9.17,-0.14
04/03/2009,13,3,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.83,May,9.9855,-0.1555
04/09/2009,14,4,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.94,May,10.07,-0.13
04/17/2009,15,4,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.32,May,10.51,-0.19
04/24/2009,16,4,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.23,Jul,10.34,-0.11
05/01/2009,17,4,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.86,Jul,10.922,-0.062
05/08/2009,18,5,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.06,Jul,11.115,-0.055
05/15/2009,19,5,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.3,Jul,11.305,-0.005
05/22/2009,20,5,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.69,Jul,11.66,0.03
05/29/2009,21,5,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.96,Jul,11.84,0.12
06/05/2009,22,6,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.32,Jul,12.255,0.065
06/12/2009,23,6,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.4,Jul,12.54,-0.14
06/19/2009,24,6,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.8,Jul,11.79,0.01
06/26/2009,25,6,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.8,Jul,11.28,0.52
07/02/2009,26,6,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),12.04,Aug,11.54,0.5
07/10/2009,27,7,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.85,Nov,9.17,1.68
07/17/2009,28,7,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.4,Nov,9.235,1.165
07/24/2009,29,7,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.13,Nov,9.15,0.98
07/31/2009,30,7,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.78,Nov,9.82,0.96
08/07/2009,31,8,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.41,Nov,10.385,1.025
08/14/2009,32,8,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.61,Nov,9.815,0.795
08/21/2009,33,8,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.49,Nov,9.73,0.76
08/28/2009,34,8,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),11.83,Nov,10.11,1.72
09/04/2009,35,9,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),10.19,Nov,9.22,0.97
09/11/2009,36,9,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.85,Nov,9.03,0.82
09/18/2009,37,9,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.41,Nov,9.41,0
09/25/2009,38,9,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.31,Nov,9.26,0.05
10/02/2009,39,9,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),8.73,Nov,8.85,-0.12
10/09/2009,40,10,2009,Illinois,Elevator Bid,Soybeans,GeoGrain Subscription,40.375496169,-89.33530089,POINT (-89.33530089 40.375496169),9.51,Nov,9.64,-0.13
